rank,language,fname,packages,scripts,share,calls
1824,Python,_solve_cholesky,sklearn.linear_model,1,0.0002,1
1825,Python,_solve_cholesky_kernel,sklearn.linear_model,1,0.0002,1
1826,Python,_spatial_median,sklearn.linear_model,1,0.0002,3
1827,Python,_test_find_index,scipy.stats,1,0.0002,5
1828,Python,_to_corr,scipy.stats,1,0.0002,5
1829,R,add.vertex.shape,igraph,1,0.0001,1
1830,R,addHeader,raster,1,0.0001,1
1831,R,addLegend,fields;xts,1,0.0001,5
1832,R,addPolygon,xts,1,0.0001,1
1833,R,add_columns,sjmisc,1,0.0001,1
1834,R,add_s.weights,MatchIt,1,0.0001,1
1835,Python,additive_chi2_kernel,sklearn.metrics,1,0.0002,2
1836,R,adjacent.triangles,igraph,1,0.0001,8
1837,Python,adjusted_mutual_info_score,sklearn.metrics,1,0.0002,5
1838,Python,alexandergovern,scipy.stats,1,0.0002,17
1839,R,alongTrackDistance,geosphere,1,0.0001,1
1840,R,ameliabind,Amelia,1,0.0001,1
1841,Python,anderson,scipy.optimize,1,0.0002,1
1842,R,antipodal,geosphere,1,0.0001,1
1843,R,antipode,geosphere,1,0.0001,1
1844,R,any_vars,srvyr,1,0.0001,1
1845,R,areaSpatialGrid,sp,1,0.0001,2
1846,Python,argsreduce,scipy.stats,1,0.0002,3
1847,Python,argus,scipy.stats,1,0.0002,3
1848,R,articulation.points,igraph,1,0.0001,1
1849,R,as.array.Matrix,Matrix,1,0.0001,1
1850,R,as.array.SpatialGridDataFrame,sp,1,0.0001,1
1851,R,as.character.DMS,sp,1,0.0001,1
1852,R,as.data.frame.GridTopology,sp,1,0.0001,1
1853,R,as.data.frame.SpatialGrid,sp,1,0.0001,1
1854,R,as.data.frame.SpatialGridDataFrame,sp,1,0.0001,1
1855,R,as.data.frame.SpatialLinesDataFrame,sp,1,0.0001,1
1856,R,as.data.frame.SpatialMultiPointsDataFrame,sp,1,0.0001,1
1857,R,as.data.frame.SpatialPixels,sp,1,0.0001,1
1858,R,as.data.frame.SpatialPixelsDataFrame,sp,1,0.0001,1
1859,R,as.data.frame.SpatialPointsDataFrame,sp,1,0.0001,1
1860,R,as.data.frame.SpatialPolygonsDataFrame,sp,1,0.0001,1
1861,R,as.double.DMS,sp,1,0.0001,1
1862,R,as.matrix.Matrix,Matrix,1,0.0001,1
1863,R,as.matrix.SpatialGridDataFrame,sp,1,0.0001,1
1864,R,as.matrix.SpatialPixelsDataFrame,sp,1,0.0001,1
1865,R,as.numeric.DMS,sp,1,0.0001,1
1866,R,as.ordered,memisc,1,0.0001,1
1867,R,asTable,nlme,1,0.0001,1
1868,R,asUniqueT,Matrix,1,0.0001,1
1869,R,as_label,sjlabelled,1,0.0001,4
1870,Python,association,scipy.stats,1,0.0002,1
1871,R,autocorr.plot,coda,1,0.0001,2
1872,R,average_treatment_effect,grf,1,0.0001,18
1873,R,avg_comparisons,marginaleffects,1,0.0001,1
1874,R,balance,CBPS;arm,1,0.0001,1
1875,R,balancedGrouped,nlme,1,0.0001,1
1876,Python,balanced_accuracy_score,sklearn.metrics,1,0.0002,3
1877,R,bandSparse,Matrix,1,0.0001,1
1878,Python,barnard_exact,scipy.stats,1,0.0002,9
1879,R,batchSE,coda,1,0.0001,2
1880,R,bearing,geosphere,1,0.0001,4
1881,R,bearingRhumb,geosphere,1,0.0001,1
1882,R,beginCluster,raster,1,0.0001,1
1883,R,bernoulli,brms,1,0.0001,1
1884,Python,betabinom,scipy.stats,1,0.0002,2
1885,Python,betaprime,scipy.stats,1,0.0002,1
1886,R,big_mark,sjmisc,1,0.0001,1
1887,Python,binned_statistic,scipy.stats,1,0.0002,29
1888,Python,binned_statistic_2d,scipy.stats,1,0.0002,20
1889,Python,binned_statistic_dd,scipy.stats,1,0.0002,25
1890,Python,binom_test,scipy.stats,1,0.0002,6
1891,R,biplot,VGAM;stats,1,0.0001,1
1892,R,blocks,igraph,1,0.0001,1
1893,R,bootMer,lme4,1,0.0001,1
1894,Python,bootstrap,scipy.stats,1,0.0002,28
1895,Python,boschloo_exact,scipy.stats,1,0.0002,8
1896,Python,box_intersections,scipy.optimize,1,0.0002,28
1897,Python,box_sphere_intersections,scipy.optimize,1,0.0002,12
1898,R,boxcox,MASS,1,0.0001,3
1899,R,brglm.control,brglm,1,0.0001,1
1900,Python,broyden1,scipy.optimize,1,0.0002,1
1901,Python,broyden2,scipy.optimize,1,0.0002,1
1902,Python,brute,scipy.optimize,1,0.0002,3
1903,R,btrap,lfe,1,0.0001,2
1904,Python,build_quadratic_1d,scipy.optimize,1,0.0002,5
1905,Python,burr,scipy.stats,1,0.0002,3
1906,R,bwNeweyWest,sandwich,1,0.0001,1
1907,Python,bytes,numpy.random,1,0.0002,1
1908,Python,calinski_harabasz_score,sklearn.metrics,1,0.0002,3
1909,R,cancor,stats,1,0.0001,1
1910,R,ccf,stats,1,0.0001,1
1911,R,ccodes,raster,1,0.0001,3
1912,R,cdf,VGAM,1,0.0001,2
1913,Python,check_clusterings,sklearn.metrics,1,0.0002,1
1914,Python,check_derivative,scipy.optimize,1,0.0002,6
1915,Python,check_paired_arrays,sklearn.metrics,1,0.0002,2
1916,Python,check_pairwise_arrays,sklearn.metrics,1,0.0002,12
1917,Python,chi2_contingency,scipy.stats,1,0.0002,8
1918,R,class.ind,nnet,1,0.0001,4
1919,Python,classification_report,sklearn.metrics,1,0.0002,13
1920,R,click,raster,1,0.0001,2
1921,R,clusterR,raster,1,0.0001,1
1922,R,cmdscale,stats,1,0.0001,1
1923,R,coefTable,MuMIn,1,0.0001,2
1924,R,coefci.default,lmtest,1,0.0001,3
1925,R,coeftest.default,lmtest,1,0.0001,3
1926,R,coerce,Matrix;memisc;sp;spdep,1,0.0001,1
1927,Python,cohen_kappa_score,sklearn.metrics,1,0.0002,8
1928,R,collapse_by_group,ggeffects,1,0.0001,2
1929,R,color_scheme_set,bayesplot,1,0.0001,1
1930,Python,combine_pvalues,scipy.stats,1,0.0002,11
1931,R,comparePred,nlme,1,0.0001,1
1932,Python,compare_medians_ms,scipy.stats,1,0.0002,2
1933,R,complete_cases,sjmisc,1,0.0001,1
1934,R,completer,Hmisc,1,0.0001,1
1935,Python,concatenate,scipy.optimize,1,0.0002,1
1936,R,conditional_effects,brms,1,0.0001,1
1937,R,contr.SAS,stats,1,0.0001,2
1938,R,contr.helmert,stats,1,0.0001,1
1939,R,contr.sum,memisc;stats,1,0.0001,1
1940,R,contr.treatment,memisc;stats,1,0.0001,1
1941,R,contrast,emmeans;rms,1,0.0001,2
1942,R,convergence,mice;ordinal,1,0.0001,4
1943,R,convex.hull,igraph,1,0.0001,1
1944,R,convolve,stats,1,0.0001,1
1945,R,copy_labels,sjlabelled,1,0.0001,1
1946,R,corARMA,nlme,1,0.0001,4
1947,R,corExp,nlme,1,0.0001,5
